Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown
41,1,3,3,3,34,3,3,3,9.682285449884981,1529,9.57871126196022,0.5874600811727297,8.124757703660698,61,0.4728594295999681,0.09315782680509738,True,False,False,False,False,True,False,False
53,1,4,3,4,37,4,2,3,10.257164375711898,0,10.257164375711898,0.5993054274664551,9.02619772858113,71,0.5443049349384883,0.0,True,False,False,False,False,True,False,False
40,0,4,0,-1,33,4,4,3,7.583247524303362,1811,5.0369526024136295,0.5247285289349821,8.45531778769815,81,0.6103089022509408,0.6533663105481008,True,False,False,False,False,False,True,False
48,0,0,2,-1,37,2,2,1,8.175285201089357,1575,6.726711467970955,0.6738140235398108,8.68167754376452,72,0.3989426882162448,0.3964224897313995,True,False,False,False,False,True,True,False
45,1,2,1,3,38,3,3,3,10.41947019629957,0,10.41947019629957,0.696326565507883,6.943942443012364,26,0.3346494096936068,0.0,True,False,False,False,True,True,False,False
31,0,2,0,0,25,5,3,1,8.098338846189057,2495,6.677083461247136,0.5905605917848443,8.382747094863314,83,0.6344581842112658,0.5647454657554211,True,False,False,False,False,False,True,False
42,1,4,1,3,30,6,1,0,10.302330784335403,1916,10.235880049754966,0.5771750043075247,6.898714534329988,21,0.6465795447436106,0.0620353909194527,True,False,False,False,False,True,False,False
40,0,4,1,0,36,4,2,3,9.340678907728925,0,9.340678907728925,0.5331748318509688,7.774168600784996,39,0.38736405803373164,0.0,True,False,False,False,False,False,True,False
32,0,2,3,-1,17,5,1,2,7.271912163268625,1228,5.353278924622011,0.757060506303598,7.855932199718614,67,0.6785410281705831,0.6173454671436635,True,False,False,False,False,False,True,False
54,1,0,1,2,44,3,2,2,9.309545464567025,2347,9.055124848806333,0.6383426481141449,8.815262440016395,69,0.5630656510788482,0.1983466712725951,True,False,False,False,False,True,False,False
